Speaker Name,Dialogue ID,NPC,Position,Messages,Messages 1,Messages 2,Messages 3,Messages 4,Messages 5
Player,I_P0,,Middle Center,你好，請出示文件,,,,,
NPC,I_1,Boss_ccexpress,Middle Center,好的，麻煩你了,,,,,
NPC,I_2,Boss_ccexpress,Middle Center,哎喲？新人啊？,我就早說要加人了，結果呢？,出了事才馬後炮。,,,
NPC,I_3,Boss_ccexpress,Middle Center,不好意思，我有點急，,請問可以快點嗎？,,,,
NPC,I_4,Boss_ccexpress,Middle Center,（聽電話）啊？,怎麼養殖的都出問題啊，,我不管，你最好快點搞定,啊，不說了,到我了,
Player,T_P0,,Middle Center,抱歉，但我們要跟程序辦事的,,,,,
Player,T_P1,,Middle Center,是是是,,,,,
NPC,T_1,Boss_ccexpress,Middle Center,不好意思，我有點急，,請問可以快點嗎？,,,,
NPC,T_2,Boss_ccexpress,Middle Center,快啦！,怎麼加了人還比之前慢！,,,,
NPC,T_3,Boss_ccexpress,Middle Center,你們ETM是不是故意拖時間的！,快點！,,,,
