Speaker Name,Dialogue ID,NPC,Position,Messages,Messages 1,Messages 2,Messages 3,Messages 4,Messages 5
Player,PR0_D5,,Middle Center,請你...,,,,,
Player,PR1_D5,,Middle Center,習慣就好,麻煩給我你的文件,,,,
Player,PR2_D5,,Middle Center,沒，異國動物交易種類太多,有些還包括常見的猫狗鼠，只好把爬蟲類鳥類之類的分過來了,麻煩給我你的文件,,,
Player,PR3_D5,,Middle Center,這才八月，中秋遠遠沒到呢,,,,,
Player,PR4_D5,,Middle Center,沒辦法,自那個金明星來訪後，大家都趕着帶寵物來拍照,好了，請先給我看看你的文件吧,,,
NPC,R0_D5_N1_E,Npc2,Middle Center,（聽電話）又是貓頭鷹？怎麼那個哈利路特一出新影集，每個都想要貓頭鷹？,小孩都是這樣,他們怎麼不去養地精！,,,
NPC,R1_D5_N1,Npc2,Middle Center,不好意思，請稍等下，很快,（聽電話）我跟你說，那些小年輕完全不知道甚麼是責任，玩完就扔,他們說要寵物？,哼，没門！不說了bye,好，在這裏，你看一下
NPC,R0_D5_N2,Npc4,Middle Center,小艾、咳，我是說在這裏！,,,,,
NPC,R0_D5_N3_E,Npc1,Middle Center,別別別推！嘩，哥你這也太多人了吧？,我走慢一點也被催,,,,
NPC,R1_D5_N3,Npc1,Middle Center,好的,,,,,
NPC,R0_D5_N4_E,Npc3,Middle Center,嗯......,你們ETM只是做蛇鳥申請的嗎？,,,,
NPC,R1_D5_N4,Npc3,Middle Center,喔喔,那幫我看看這些o不ok，我要辦好準許證才能飛去外國,,,,
NPC,R0_D5_N5_E,Npc2,Middle Center,好喲，沒想到快中秋了，你們仍然在工作,,,,,
NPC,R1_D5_N5,Npc2,Middle Center,你別說金魚街有人在8月已經囤定年貨了,現在提早過中秋也不誇張,,,,
NPC,R0_D5_N6_E,Npc3,Middle Center,終於到了，你們這隊怎麼比前天長了？,,,,,
NPC,A0_D5_N1,Npc2,Middle Center,（聽電話）又怎樣？啊？好好好我催一下,咳，大兄弟啊！當我求你了批快一點吧！,,,,
NPC,A0_D5_N2,Npc4,Middle Center,我想問下這份工作容易嗎？,你覺得加幾個人比較能加速流程？,,,,
NPC,A0_D5_N3,Npc1,Middle Center,哥你快點,後面的人都在用奇怪的目光看我了!,,,,
NPC,A0_D5_N4,Npc3,Middle Center,...你還要多少時間？,,,,,
NPC,A0_D5_N5,Npc2,Middle Center,哎喲，你不放假我也要放假了,都快週未了你就放過我吧？,,,,
NPC,A0_D5_N6,Npc3,Middle Center,你慢慢看，我看個新聞......,,,,,
