AnimalID,Business Name,Business Name 2,Business Number,Business Number 2,Line 1,Line 2,Line 3,Line 4,Line 5,Line 6,Stamp And Sign,Stamp And Sign 2
BKa,毛神神,蛛網,92718391,12691461,C3,C4,,T4,Yes,Yes,I_Stamp_1,
BKaF,毛神神,蛛網,92718391,12691461,C3,C4,,T4,Yes,Yes,I_Stamp_1,
PBa,風信子,東區蛇王,67743212,78575351,C2,C4,T2,,Yes,Yes,I_Stamp_1,
PBaF,風信子,東區蛇王,67743212,78575351,C2,C4,T2,,Yes,Yes,I_Stamp_1,
AOa,飛廉風伯,九凰天鳥園,76991390,36787512,C1,C4,,,Yes,Yes,I_Stamp_1,
AOaF,飛廉風伯,九凰天鳥園,76991390,36787512,C1,C4,,,Yes,Yes,I_Stamp_1,
SPa,陸鰲店,浦島太郎,45345125,45125778,C2,C4,T3,,Yes,Yes,I_Stamp_1,
SPaF,陸鰲店,浦島太郎,4534578925,45125778,C2,C4,T3,,Yes,Yes,I_Stamp_1,
ARa,徐氏龜屋,非牟利龜隻保護協會,48428451,54723882,C2,C4,T3,,Yes,Yes,I_Stamp_1,
ARaF,徐氏龜屋,非牟利龜隻保護協會,48428451,54723882,C2,C4,T3,,Yes,Yes,I_Stamp_1,
BJa,喜雀帖,中國文鳥,45678963,27394239,C1,C4,,,Yes,Yes,I_Stamp_1,
BJaF,喜雀帖,中國文鳥,45678963,27394239,C1,C4,,,Yes,Yes,I_Stamp_1,
EAa,蓮姐魚檔,魚魚湯專門店,33193493,38292321,C3,C5,,T5,Yes,Yes,I_Stamp_1,
EAaF,蓮姐魚檔,魚魚湯專門店,33193493,38292321,C3,C5,,T5,Yes,Yes,I_Stamp_1,
BBa,奇梟談,紺夜金烏,56756692,72492042,C1,C4,,,Yes,Yes,I_Stamp_1,
BBaF,奇梟談,紺夜金烏,56756692,72492042,C1,C4,,,Yes,Yes,I_Stamp_1,
PRa,毛神神,蜘蛛花,92718391,13822391,C3,C4,,T4,Yes,Yes,I_Stamp_1,
PRaF,none,蜘蛛花,92718391,13822391,C3,C4,,T4,Yes,Yes,I_Stamp_1,
AYa,白堊紀,龜仙人,24733322,58392321,C2,C4,T3,,Yes,Yes,I_Stamp_1,
AYaF,白堊紀,龜仙人,24733322,58392321,C2,C4,T3,,Yes,Yes,I_Stamp_1,
