AnimalID,Location Name,Location Name 2,Line 1,Objective,Objective 2,Business Number,Business Number 2,Deadline,Deadline 2,Animal Name,Animal Name 2,Animal Count,Animal Count 2,Animal Feature,Animal Feature 2,Stamp and Sign,Stamp and Sign 2
HTa,馬來西亞,,C2,販售,繁殖,ATL00081,ATL00091,2022/10/9,2022/10/10,接吻魚,,20,,"顏色:粉白色, 身長:5厘米, 身體呈長圓形。","顏色:淡粉色, 身長:3厘米, 厚嘴唇。",I_Stamp_1,
HTb,馬來西亞,,C1,寵物,, ,, ,,接吻魚,,3,2,"顏色:粉白色, 身長:5厘米, 身體呈長圓形。",,I_Stamp_1,
HTaF,馬來西亞,,C2,販售,繁殖,ATL00081,ATL00091,2022/10/9,2022/10/10,接吻魚,,20,,"顏色:粉白色, 身長:5厘米, 身體呈長圓形。",顏色:明黃色。身長:3厘米，嘴唇厚大。,I_Stamp_1,
HTbF,馬來西亞,,C1,寵物,, ,, ,,接吻魚,,3,2,"顏色:粉白色, 身長:5厘米, 身體呈長圓形。",,I_Stamp_1,I_Stamp_2
TSa,香城,,C3,販售,繁殖,ATL00232,ATL00242,2022/11/11,2022/11/12,金絲貓,豹虎,40,,顏色:啡金色。身長:3厘米，前肢似蟹螯。,顏色:啡金色。身長:3厘米，短毛反光閃金帶白。,I_Stamp_1,
TSb,香城, ,C3,寵物,, ,, ,,豹虎,金絲貓,6,,顏色:啡金色。身長:3厘米，前肢似蟹螯。,,I_Stamp_1,
TSaF,香城,,C3,販售,繁殖,ATL00232,ATL00242,2022/11/11,2022/11/12,金絲貓,,40,,顏色:啡金色。身長:3厘米，前肢似蟹螯。,,I_Stamp_1,
TSbF,香城,,C3,寵物,, ,ATL00262, ,,金絲貓,,6,,顏色:啡金色。身長:3厘米，前肢似蟹螯。,,I_Stamp_1,
SCa,英國,,C2,販售,,ATL00193,ATL00203,2022/10/1,2022/10/2,金絲雀,,2,,顏色:全金黃色。身長:12.5厘米，鳥啄較扁小。,"顏色:全金黃色。身長:12.5厘米，,尾翎較長。",I_Stamp_1,
SCb,英國,,C1,寵物,, ,, ,,金絲雀,,1,,顏色:全金黃色。身長:12.5厘米，鳥啄較扁小。,,I_Stamp_1,
SCaF,英國,,C2,販售,,TFG00213,ATL00203,2022/10/1,2022/7/1,金絲雀,,2,,顏色:全金黃色。身長:12.5厘米，鳥啄較扁小。,,I_Stamp_1,
SCbF,英國,,C1,寵物,, ,, ,,金絲雀,,1,,顏色:全金黃色。身長:12.5厘米，鳥啄較扁小。,,I_Stamp_1,I_Stamp_2
PHa,美國,,C2,販售,繁殖,ATL00584,ATL00091,2022/10/9,2022/10/10,水虎魚,紅肚食人鯧,10,,顏色:銀灰色腹部紅色。身長:25厘米，身扁圓。,顏色:銀灰色腹部紅色。身長:25厘米，有尖牙。,I_Stamp_1,
PHb,美國,,C1,寵物,, ,, ,,紅肚食人鯧,,1,,顏色:銀灰色腹部紅色。身長:25厘米，身扁圓。,,I_Stamp_1,
PHaF,美國,,C2,販售,繁殖,ATL00584,ATL00091,2022/10/9,2022/10/10,水虎魚,紅肚食人鯧,10,,顏色:銀灰色腹部紅色。身長:25厘米，身扁圓。,,I_Stamp_1,
PHbF,美國,,C1,寵物,, ,, ,,接吻魚,紅肚食人鯧,1,,顏色:銀灰色腹部紅色。身長:25厘米，身扁圓。,,I_Stamp_1,
BTa,廣東,,C3,販售,,ATL00285,ATL00295,2022/9/30,2022/10/1,黃唇魚,,5,,"顏色:灰白帶金黃色,。身長:150厘米，腹臀鰭淺啡色",,I_Stamp_1,
BTb,廣東,,C3,寵物,, ,, ,,黃唇魚,,1,,"顏色:灰白帶金黃色,。身長:150厘米，腹臀鰭淺啡色",,I_Stamp_1,
BTaF,廣東,,C3,販售,,ATL00285,ATL00295,2022/9/30,2022/10/1,黃唇魚,,5,,"顏色:灰白帶金黃色,。身長:150厘米，腹臀鰭淺啡色","顏色:粉白色, 身長:5厘米, 身體呈長圓形。",I_Stamp_1,
BTbF,廣東,,C3,寵物,, ,, ,,黃唇魚,,1,,"顏色:灰白帶金黃色,。身長:150厘米，腹臀鰭淺啡色",,I_Stamp_1,
EAa,廣東,,C2,販售,,ATL00216,ATL00906,2022/9/30,2022/10/1,紅斑魚,,8,,顏色:褐色或紅色。身長:58厘米，較寬側扁。,顏色:褐色或紅色。身長:58厘米，帶有條紋和白斑點。,I_Stamp_1,
EAb,廣東,,C3,寵物,, ,, ,,紅斑魚,,1,,顏色:褐色或紅色。身長:58厘米，較寬側扁。,,I_Stamp_1,
EAaF,廣東,,C3,販售, ,ATL00216,ATL00906,2022/9/30,2022/10/1,紅斑魚,,8,,顏色:褐色或紅色。身長:58厘米，較寬側扁。,,I_Stamp_1,
EAbF,廣東,,C3,寵物,, ,, ,,紅斑魚,,1,,顏色:褐色或紅色。身長:58厘米，較寬側扁。,,I_Stamp_1,I_Stamp_2
