AnimalID,Location Name,Location Name 2,Line 1,Objective,Objective 2,Business Number,Business Number 2,Deadline,Deadline 2,Deadline 3,Animal Name,Animal Name 2,Animal Count,Animal Count 2,Animal Feature,Animal Feature 2,Stamp and Sign,Stamp and Sign 2
LOa,墨西哥,,C1,販售,販售,ATL00420,ATL00412,2023/12/26,2022/10/3,,尖嘴鱷,,8,4,"顏色:青灰色, 身長:40厘米，體長圓筒形有暗紋","顏色:青灰色, 身長:50厘米，嘴部突出扁平似鴨嘴",I_Stamp_5,
LOb,墨西哥,,C2,寵物,, , , , ,,雀鱔,,1,,"顏色:青灰色, 身長:40厘米，體長圓筒形有暗紋","顏色:青灰色, 身長:50厘米，嘴部突出扁平似鴨嘴",I_Stamp_5,
LOaF,墨西哥,,C1,販售,販售,ATL00420,ATL00412,2023/12/26,2022/10/3,,尖嘴鱷,,8,4,"顏色:青灰色, 身長:40厘米，體長圓筒形有暗紋","顏色:青灰色, 身長:50厘米，嘴部突出扁平似鴨嘴",I_Stamp_5,I_Stamp_7
LObF,墨西哥,,C2,寵物,none, , , , ,,雀鱔,,1,,"顏色:青灰色, 身長:40厘米，體長圓筒形有暗紋","顏色:青灰色, 身長:50厘米，嘴部突出扁平似鴨嘴",I_Stamp_5,
GEa,斯里蘭卡,,C1,非商業繁殖,非商業繁殖,ATL00461,ATL00511,2022/10/6,2022/10/7,,印度星龜,,5,,顏色:背甲絳黑色。身長41厘米，淡黃放射條紋，頂部有隆起,顏色:背甲絳黑色。身長41厘米，皮膚上的鱗片粗大,I_Stamp_5,
GEb,斯里蘭卡,,C1,寵物,寵物, , , , ,,印度星龜,,1,,顏色:背甲絳黑色。身長41厘米，淡黃放射條紋，頂部有隆起,顏色:背甲絳黑色。身長41厘米，皮膚上的鱗片粗大,I_Stamp_5,
GEaF,斯里蘭卡,,C1,販賣,非商業繁殖,ATL00461,ATL00511,2022/10/6,2022/10/7,,印度星龜,,5,,顏色:背甲絳黑色。身長41厘米，淡黃放射條紋，頂部有隆起,顏色:背甲絳黑色。身長41厘米，皮膚上的鱗片粗大,I_Stamp_5,
GEbF,斯里蘭卡,,C1,寵物,寵物, , , , ,,印度星龜,,1,,顏色:背甲絳黑色。身長41厘米，淡黃放射條紋，頂部有隆起,顏色:背甲絳黑色。身長41厘米，皮膚上的鱗片粗大,I_Stamp_5,
TCa,德克薩斯,,C2,繁殖,販售,ATL00512,ATL00513,2022/9/8,2022/10/7,,東箱龜,,7,8,顏色:黑橙花纹。身長:18厘米，背甲高聳，後緣有明顯卷翹,顏色:黑橙花纹。身長:15厘米，背甲高聳，後緣有明顯卷翹,I_Stamp_5,
TCb,德克薩斯,,C1,寵物,, , , , ,,東箱龜,,1,,顏色:黑橙花纹。身長:18厘米，背甲高聳，後緣有明顯卷翹,顏色:黑橙花纹。身長:15厘米，背甲高聳，後緣有明顯卷翹,I_Stamp_5,
TCaF,德克薩斯,,C2,繁殖,販售,ATL00512,ATL00513,2022/3/6,2022/10/7,,印度星龜,東箱龜,7,8,顏色:黑橙花纹。身長:18厘米，背甲高聳，後緣有明顯卷翹,顏色:黑橙花纹。身長:15厘米，背甲高聳，後緣有明顯卷翹,I_Stamp_5,
TCbF,德克薩斯,德國,C1,寵物,, , , , ,,東箱龜,,1,,顏色:黑橙花纹。身長:18厘米，背甲高聳，後緣有明顯卷翹,顏色:黑橙花纹。身長:15厘米，背甲高聳，後緣有明顯卷翹,I_Stamp_5,
PMa,印度,,C1,繁殖,販售,ATL00512,ATL00232,2022/10/31,2022/11/1,,藍寶石華麗雨林,,20,,顏色:藍白色花紋。身長:17厘米，足轉節有點黃,顏色:藍白色花紋。身長:16厘米，足轉節有點黃,I_Stamp_5,
PMb,印度,,C3,寵物,, , , , ,,藍寶石華麗雨林,,1,2,顏色:藍白色花紋。身長:17厘米，足轉節有點黃,顏色:藍白色花紋。身長:16厘米，足轉節有點黃,I_Stamp_5,
PMaF,印度,,C1,繁殖,販售,ATL00512,ATL00232,2022/10/31,2022/11/1,,藍寶石華麗雨林,,20,,顏色:藍白色花紋。身長:17厘米，足轉節有點黃,顏色:藍白色花紋。身長:16厘米，足轉節有點黃,I_Stamp_5,
PMbF,印度,,C3,寵物,, , , , ,,藍寶石華麗雨林,,1,2,顏色:藍白色花紋。身長:17厘米，足轉節有點黃,顏色:藍白色花紋。身長:16厘米，足轉節有點黃,I_Stamp_5,
POa,巴拉圭,,C1,繁殖,販售,ATL00389,ATL00543,2022/9/15,2022/9/16,,孔雀魚,,35,,顏色:銀灰色。身長:3厘米，尾鰭寬長並約佔全長的1/3以上,顏色:銀灰色。身長:4厘米，尾鰭似豹皮,I_Stamp_5,
POb,巴拉圭,,C1,寵物,, , , , ,,孔雀魚,,4,7,顏色:銀灰色。身長:3厘米，尾鰭寬長並約佔全長的1/3以上,顏色:銀灰色。身長:4厘米，尾鰭似豹皮,I_Stamp_5,
POaF,巴拉圭,,C1,繁殖,販售,ATL00000,ATL00543,2022/9/15,2022/9/16,,孔雀魚,,35,,顏色:銀灰色。身長:3厘米，尾鰭寬長並約佔全長的1/3以上,顏色:銀灰色。身長:4厘米，尾鰭似豹皮,I_Stamp_5,
PObF,巴拉圭,,C1,寵物,, , , , ,,孔雀魚,,4,7,顏色:銀灰色。身長:3厘米，尾鰭寬長並約佔全長的1/3以上,顏色:銀灰色。身長:4厘米，尾鰭似豹皮,I_Stamp_5,I_Stamp_7
TAa,英國,,C1,繁殖,販售,ATL00322,ATL00595,2022/10/3,2022/10/4,,倉鴞,,4,2,"顏色:淺棕黃色,。身長:33厘米，白色面盤明顯，呈心臟形","顏色:淺棕黃色,。身長:39厘米，下體白色，虹膜偏黑",I_Stamp_5,
TAb,英國,,C1,寵物,, , , , ,,倉鴞,,1,,"顏色:淺棕黃色,。身長:33厘米，白色面盤明顯，呈心臟形","顏色:淺棕黃色,。身長:39厘米，下體白色，虹膜偏黑",I_Stamp_5,
TAaF,英國,,C1,繁殖,販售,ATL00322,ATL00595,2022/10/3,2022/10/4,,倉鴞,,4,2,"顏色:淺棕黃色,。身長:33厘米，白色面盤明顯，呈心臟形","顏色:淺棕黃色,。身長:39厘米，下體白色，虹膜偏黑",I_Stamp_5,
TAbF,none,英國,C1,寵物,, ,ATL00322, , ,,倉鴞,,1,,"顏色:淺棕黃色,。身長:33厘米，白色面盤明顯，呈心臟形","顏色:淺棕黃色,。身長:39厘米，下體白色，虹膜偏黑",I_Stamp_5,
AAa,墨西哥,,C2,非商業繁殖,非商業繁殖,ATL00433,ATL00213,2023/1/15,2023/1/16,,緋紅金剛鸚鵡,,4,3,顏色:緋紅色。身長:89厘米，翅膀覆蓋黃色羽毛和深藍色的尾羽,顏色:緋紅色。身長:84厘米，面上沒有黑紋,I_Stamp_5,
AAb,墨西哥,,C2,寵物,, , , , ,,緋紅金剛鸚鵡,,4,3,顏色:緋紅色。身長:89厘米，翅膀覆蓋黃色羽毛和深藍色的尾羽,顏色:緋紅色。身長:84厘米，面上沒有黑紋,I_Stamp_5,
AAaF,墨西哥,,C2,繁殖,販售,ATL00433,ATL00213,2023/1/15,2023/1/16,,緋紅金剛鸚鵡,,4,3,顏色:緋紅色。身長:89厘米，翅膀覆蓋黃色羽毛和深藍色的尾羽,顏色:緋紅色。身長:84厘米，面上沒有黑紋,I_Stamp_5,
AAbF,墨西哥,,C2,寵物,, , , , ,,緋紅金剛鸚鵡,李爾氏金剛鸚鵡,4,3,顏色:緋紅色。身長:89厘米，翅膀覆蓋黃色羽毛和深藍色的尾羽,顏色:緋紅色。身長:84厘米，面上沒有黑紋,I_Stamp_5,
MHa,福建,,C3,販售,繁殖,ATL00451,ATL00347,2023/3/9,2023/3/10,,香港鬥魚,,20,,顏色:灰黑色斑點橫帶。身長:5厘米，鰭條部分呈淡紅色,顏色:灰黑色斑點橫帶。身長:5厘米，呈紡綞形,I_Stamp_5,
MHb,福建,,C3,寵物,, , , , ,,香港鬥魚,,1,2,顏色:灰黑色斑點橫帶。身長:5厘米，鰭條部分呈淡紅色,顏色:灰黑色斑點橫帶。身長:5厘米，呈紡綞形,I_Stamp_5,
MHaF,福建,,C3,販售,繁殖,ATL00451,ATL00347,2023/3/9,2023/3/10,,香港鬥魚,,20,,顏色:灰黑色斑點橫帶。身長:5厘米，鰭條部分呈淡紅色,顏色:灰黑色斑點橫帶。身長:5厘米，呈紡綞形,I_Stamp_5,
MHbF,福建,,C3,寵物,, , , , ,,香港鬥魚,,1,2,顏色:灰黑色斑點橫帶。身長:15厘米，鰭條部分呈淡紅色,顏色:灰黑色斑點橫帶。身長:5厘米，呈紡綞形,I_Stamp_5,
LLa,不丹,,C1,販售,繁殖,ATL00512,ATL00322,2022/10/18,2022/10/19,,紅咀相思,,8,,顏色: 背羽暗綠色。身長:15厘米，頭部略帶黃色，嘴赤紅色,顏色: 背羽暗綠色。身長:15厘米，尾呈輝黑色叉狀,I_Stamp_5,
LLb,不丹,,C1,寵物,, , , , ,,紅咀相思,,1,,顏色: 背羽暗綠色。身長:15厘米，頭部略帶黃色，嘴赤紅色,顏色: 背羽暗綠色。身長:15厘米，尾呈輝黑色叉狀,I_Stamp_5,
LLaF,不丹,,C1,販售,繁殖,ATL00512,ATL00322,2022/10/18,2022/10/19,,紅咀相思,,8,,顏色: 背羽暗綠色。身長:15厘米，頭部略帶黃色，嘴赤紅色,顏色: 背羽暗綠色。身長:15厘米，尾呈輝黑色叉狀,I_Stamp_5,
LLbF,不丹,緬甸,C1,寵物,, , , , ,,紅咀相思,,1,,顏色: 背羽暗綠色。身長:15厘米，頭部略帶黃色，嘴赤紅色,顏色: 背羽暗綠色。身長:15厘米，尾呈輝黑色叉狀,I_Stamp_5,
OHa,菲律賓,,C1,販售,販售,ATL00512,ATL00513,2022/12/2,2022/12/3,,眼鏡王蛇,,6,10,顏色:淺黃環紋深褐背。身長:300厘米，有斑紋和頸部皮摺,顏色:淺黃環紋深褐背。身長:560厘米，有斑紋和頸部皮摺,I_Stamp_5,
OHb,菲律賓,,C2,寵物,, , , , ,,眼鏡王蛇,,1,,顏色:淺黃環紋深褐背。身長:300厘米，有斑紋和頸部皮摺,顏色:淺黃環紋深褐背。身長:560厘米，有斑紋和頸部皮摺,I_Stamp_5,
OHaF,菲律賓,,C1,販售,販售,ATL00512,ATL00513,44897,44898,,眼鏡王蛇,,6,10,顏色:淺黃環紋深褐背。身長:30厘米，有斑紋和頸部皮摺,顏色:淺黃環紋深褐背。身長:560厘米，有斑紋和頸部皮摺,I_Stamp_5,
OHbF,菲律賓,,C2,寵物,, , , , ,,眼鏡王蛇,,1,,顏色:淺黃環紋深褐背。身長:300厘米，有斑紋和頸部皮摺,顏色:淺黃環紋深褐背。身長:560厘米，有斑紋和頸部皮摺,I_Stamp_5,I_Stamp_7
